52 Dundas Lelouche ,,,,,,,,,,
https://platform.remix.com/map/81daf133,,,,,,,,,,
,,,,,,,,,,
PROJECT SETTINGS,,,,,,,,,,
Costing by,Vehicle type,,,,,,,,,
,,,,,,,,,,
Calendar days,,,,,,,,,,
Weekdays / yr,255,,,,,,,,,
Saturdays / yr,55,,,,,,,,,
Sundays / yr,55,,,,,,,,,
,,,,,,,,,,
Layover rules,,,,,,,,,,
% of trip runtime,10%,,,,,,,,,
Minimum flat rate (minutes),,,,,,,,,,
"For each trip, Remix will use whichever of the above is greater",,,,,,,,,,
,,,,,,,,,,
SYSTEM STATS,,,,,,,,,,
Yearly totals,,,,,,,,,,
Lines,1,,,,,,,,,
Vehicles,2,,,,,,,,,
$ / yr,"145,860",,,,,,,,,
Hours / yr,"1,459",,,,,,,,,
Trip hours / yr,"1,326",,,,,,,,,
Layover hours / yr,133,,,,,,,,,
Kilometers / yr,"31,508",,,,,,,,,
Stops,35,,,,,,,,,
Avg m apart,296,,,,,,,,,
,,,,,,,,,,
Vehicle Types,Vehicle count,Lines,$ / hr,$ / hr (Saturdays),$ / hr (Sundays),$ / km,$ / vehicle,Hours / yr,Kilometers / yr,Total $ / yr
Bus,2,1,100.00,0,0,0,0,"1,459","31,508","145,860"
,,,,,,,,,,
Weekday totals,,,,,,,,,,
$ / wkdy,572,,,,,,,,,
Hours / wkdy,6,,,,,,,,,
Trip hours / wkdy,5,,,,,,,,,
Layover hours / wkdy,1,,,,,,,,,
Kilometers / wkdy,124,,,,,,,,,
,,,,,,,,,,
Saturday totals,,,,,,,,,,
$ / sat,,,,,,,,,,
Hours / sat,,,,,,,,,,
Trip hours / sat,,,,,,,,,,
Layover hours / sat,,,,,,,,,,
Kilometers / sat,,,,,,,,,,
,,,,,,,,,,
Sunday totals,,,,,,,,,,
$ / sun,,,,,,,,,,
Hours / sun,,,,,,,,,,
Trip hours / sun,,,,,,,,,,
Layover hours / sun,,,,,,,,,,
Kilometers / sun,,,,,,,,,,
,,,,,,,,,,
Line,"Inbound, A (km)","Outbound, A (km)",Vehicle type,Vehicle count,Hours / yr,Kilometers / yr,$ / yr,,,
52 Dundas Local,5.3,5.2,Bus,2,"1,459","31,508","145,860",,,
