ID,Name,Longitude,Latitude,Lines
1001,ABERDEEN at CHEDOKE,-79.89642,43.25186,
1002,ABERDEEN at COTTAGE,-79.89037,43.25037,
1005,ABERDEEN at DUNDURN,-79.89297,43.25095,
1004,ABERDEEN at DUNDURN,-79.89235,43.25097,
1007,ABERDEEN at KENT,-79.88562,43.24928,
1006,ABERDEEN at KENT,-79.88538,43.24937,
1008,ABERDEEN at LOCKE,-79.88788,43.24996,
1009,ABERDEEN at LONGWOOD,-79.90177,43.25336,
2454,ABERDEEN at QUEEN,-79.88349,43.24900,
1012,ABERDEEN at SPRUCESIDE,-79.88375,43.24883,
1013,ABERDEEN at STUDHOLME,-79.89944,43.25259,
1015,ABERDEEN at UNDERMOUNT,-79.88774,43.24976,
1011,ABERDEEN opposite CHEDOKE,-79.89658,43.25200,
1003,ABERDEEN opposite COTTAGE,-79.89012,43.25046,
1010,ABERDEEN opposite LONGWOOD,-79.90147,43.25311,
1014,ABERDEEN opposite STUDHOLME,-79.89956,43.25280,
355835,AIRPORT at CANADIAN WARPLANE HERITAGE,-79.92671,43.15923,
355463,AIRPORT at HOMESTEAD,-79.91472,43.15634,
355462,AIRPORT at HOMESTEAD,-79.91446,43.15641,
355836,AIRPORT opposite CANADIAN WARPLANE HERITAGE,-79.92663,43.15912,
355464,AIRPORT PASSENGER TERMINAL,-79.92659,43.16313,
356069,ALDERSHOT GO STATION PLATFORM 10,-79.85652,43.31296,
355340,ALDERSHOT GO VIA STATION PLATFORM 10,-79.85652,43.31296,
1020,AMBERLY at COTTINGHAM WEST,-79.98930,43.20674,
1021,AMBERLY at FIDDLERS GREEN,-79.98447,43.20765,
1022,AMBERLY at LEITH COURT,-79.98976,43.20678,
1023,AMBERLY at MELANIE WEST,-79.99398,43.20667,
1019,AMBERLY at SUNNYMEADE,-79.99909,43.20739,
1025,AMBERLY at WILSON,-79.99926,43.20931,
1017,AMBERLY opposite BLOOMSBURY,-79.98516,43.20756,
1018,AMBERLY opposite CHIPPENDALE,-79.99900,43.20770,
1024,AMBERLY opposite MELANIE WEST,-79.99366,43.20686,
1026,ANCHOR opposite BIGWIN,-79.82374,43.19315,
1027,ANSON at GARNER,-79.97865,43.20279,
1031,ARKLEDUN at KINGSWAY,-79.86859,43.24701,
1030,ARKLEDUN at KINGSWAY,-79.86859,43.24701,
1029,ARKLEDUN opposite KINGSWAY,-79.86862,43.24721,
1028,ARKLEDUN opposite KINGSWAY,-79.86862,43.24721,
1035,ARVIN at FRUITLAND,-79.69935,43.22552,
2047,At 100 MACKLIN,-79.89509,43.26614,
3165,At 1039 WILSON,-79.95511,43.24223,
2326,At 105 NASH,-79.77544,43.22605,
3152,At 1060 WILSON,-80.01538,43.20002,
2983,At 1069 UPPER WELLINGTON,-79.87394,43.22100,
2885,At 1190 UPPER OTTAWA,-79.83814,43.20506,
3143,At 1221 WILSON,-79.94732,43.24543,
355279,At 122 MARTINDALE,-79.94459,43.22898,
2180,At 122 MARTINDALE,-79.94456,43.22901,
3146,At 1265 WILSON,-79.94559,43.24567,
